"","stateyear","predicted","hbfunds"
"482","new york_1963"," 8978755.67",10451236
"483","new york_1964"," 8236908.31",8385273
"484","north carolina_1947","  635066.14",1857342
"485","north carolina_1948"," 6215804.79",1260910
"486","north carolina_1949"," 5111683.12",3545759
"487","north carolina_1950"," 6594302.86",7494597
"488","north carolina_1951"," 2931141.08",5394939
"489","north carolina_1952"," 3500993.72",2758914
"490","north carolina_1953"," 2132459.71",1218275
"491","north carolina_1954"," 1815320.40",2845187
"492","north carolina_1955"," 2876916.25",3125903
"493","north carolina_1956"," 6081162.71",5556002
"494","north carolina_1957"," 5779018.98",2933560
"495","north carolina_1958"," 7352146.49",7656114
"496","north carolina_1959"," 6496271.70",9999747
"497","north carolina_1960"," 7491646.47",8513347
"498","north carolina_1961"," 7155132.10",6817919
"499","north carolina_1962"," 8511263.81",5960368
"500","north carolina_1963"," 8421386.53",12717042
"501","north carolina_1964"," 7618058.25",4681992
"502","north dakota_1948","  677458.23",479567
"503","north dakota_1949","  481489.79",229306
"504","north dakota_1950","  553716.49",395493
"505","north dakota_1951","  235600.78",473266
"506","north dakota_1952","  329457.33",21565
"507","north dakota_1953","  222375.15",221495
"508","north dakota_1954","  206606.06",318134
"509","north dakota_1955","  353294.11",515343
"510","north dakota_1956","  782763.61",1181052
"511","north dakota_1957","  722931.55",783084
"512","north dakota_1958","  891152.84",1130907
"513","north dakota_1959","  765449.46",1098152
"514","north dakota_1960","  823237.07",1496982
"515","north dakota_1961","  787865.81",1086553
"516","north dakota_1962","  918288.37",1215295
"517","north dakota_1963"," 1028996.94",1125999
"518","north dakota_1964","  824616.27",1817981
"519","ohio_1948"," 5478624.59",5007818
"520","ohio_1949"," 4766762.48",5951656
"521","ohio_1950"," 6129804.68",5722904
"522","ohio_1951"," 2734597.70",1807244
"523","ohio_1952"," 3410850.97",5903137
"524","ohio_1953"," 2124549.15",1267884
"525","ohio_1954"," 1804861.35",562984
"526","ohio_1955"," 2695485.68",1356599
"527","ohio_1956"," 5755014.05",4079908
"528","ohio_1957"," 5511345.08",4183131
"529","ohio_1958"," 7332458.67",5205052
"530","ohio_1959"," 6333922.21",6478260
"531","ohio_1960"," 7568779.25",6293327
"532","ohio_1961"," 7405099.00",6600515
"533","ohio_1962"," 9111086.55",4937188
"534","ohio_1963"," 9035269.77",10094455
"535","ohio_1964"," 8396493.17",13624527
"536","oklahoma_1947","  292581.12",863370
"537","oklahoma_1948"," 2774437.93",2515950
"538","oklahoma_1949"," 2332894.22",2330363
"539","oklahoma_1950"," 3104619.70",4924908
"540","oklahoma_1951"," 1289457.51",211655
"541","oklahoma_1952"," 1597427.49",2095416
"542","oklahoma_1953","  976267.03",1602312
"543","oklahoma_1954","  857221.92",334654
"544","oklahoma_1955"," 1294814.04",1823020
"545","oklahoma_1956"," 2666046.40",1850430
"546","oklahoma_1957"," 2537278.86",3135204
"547","oklahoma_1958"," 3263372.81",1863577
"548","oklahoma_1959"," 2822702.04",2453300
"549","oklahoma_1960"," 3117207.46",1949851
"550","oklahoma_1961"," 2889289.61",3104409
"551","oklahoma_1962"," 3431682.12",2651221
"552","oklahoma_1963"," 3446679.20",6471144
"553","oklahoma_1964"," 3187240.24",570563
"554","oregon_1948","  880665.99",691551
"555","oregon_1949","  762781.65",751102
"556","oregon_1950","  997255.95",2214948
"557","oregon_1951","  427177.37",180334
"558","oregon_1952","  549011.82",522006
"559","oregon_1953","  357621.45",127074
"560","oregon_1954","  325408.94",1202632
"561","oregon_1955","  527123.40",18258
"562","oregon_1956"," 1176865.20",1945305
"563","oregon_1957"," 1163416.15",1154065
"564","oregon_1958"," 1515184.93",4300487
"565","oregon_1959"," 1358414.18",1644497
"566","oregon_1960"," 1599696.40",1302626
"567","oregon_1961"," 1528958.34",3149569
"568","oregon_1962"," 1842914.97",1927004
"569","oregon_1963"," 1839099.39",1359507
"570","oregon_1964"," 1712692.64",1613693
"571","pennsylvania_1948"," 7869235.52",8130142
"572","pennsylvania_1949"," 6683655.92",8873548
"573","pennsylvania_1950"," 8862732.45",6740673
"574","pennsylvania_1951"," 3950111.51",2604908
"575","pennsylvania_1952"," 4848099.47",4458700
"576","pennsylvania_1953"," 2966277.42",4780253
"577","pennsylvania_1954"," 2548357.94",732799
"578","pennsylvania_1955"," 3895423.48",3915808
"579","pennsylvania_1956"," 8205708.64",2098130
"580","pennsylvania_1957"," 7812588.74",9839658
"581","pennsylvania_1958","10176395.05",11955405
"582","pennsylvania_1959"," 8551048.44",5236361
"583","pennsylvania_1960"," 9545642.58",9851720
"584","pennsylvania_1961"," 9089870.99",11535807
"585","pennsylvania_1962","11131583.73",9184709
"586","pennsylvania_1963","11244592.20",11034100
"587","pennsylvania_1964","10401197.45",7387711
"588","rhode island_1948","  561900.77",1382589
"589","rhode island_1949","  460742.09",16738
"590","rhode island_1950","  597918.86",907501
"591","rhode island_1952","  374143.71",75000
"592","rhode island_1954","  200000.00",10000
"593","rhode island_1955","  299393.32",775421
"594","rhode island_1956","  637023.60",977454
"595","rhode island_1957","  598181.53",421801
"596","rhode island_1958","  787316.33",774764
"597","rhode island_1959","  695017.13",1325201
"598","rhode island_1960","  799283.89",906071
"599","rhode island_1961","  746347.43",192969
"600","rhode island_1962","  891691.18",3218181
"601","rhode island_1963","  869428.53",88114
"602","rhode island_1964","  784909.31",159238
"603","south carolina_1948"," 3509721.16",1995295
"604","south carolina_1949"," 2959230.52",11332124
"605","south carolina_1950"," 3834236.12",2013408
"606","south carolina_1952"," 2107754.31",436567
"607","south carolina_1953"," 1268392.56",1224850
"608","south carolina_1955"," 1562907.54",1989942
"609","south carolina_1956"," 3346776.61",1986586
"610","south carolina_1957"," 3302702.07",2579252
"611","south carolina_1958"," 4413663.26",3870608
"612","south carolina_1959"," 3886444.47",3332172
"613","south carolina_1960"," 4488333.89",5279462
"614","south carolina_1961"," 4229641.16",6468484
"615","south carolina_1962"," 5067951.78",2863725
"616","south carolina_1963"," 5039606.77",5383662
"617","south carolina_1964"," 4517411.36",3972365
"618","south dakota_1948","  701945.48",586495
"619","south dakota_1949","  546517.92",250364
"620","south dakota_1950","  630187.08",622306
"621","south dakota_1951","  296646.11",527292
"622","south dakota_1953","  254909.87",163487
"623","south dakota_1954","  227349.55",357482
"624","south dakota_1955","  364434.41",402576
"625","south dakota_1956","  806536.47",1162474
"626","south dakota_1957","  784375.57",862954
"627","south dakota_1958"," 1044359.13",1281845
"628","south dakota_1959","  899192.26",1225591
"629","south dakota_1960","  957474.39",485813
"630","south dakota_1961","  916065.45",1955171
"631","south dakota_1962"," 1103297.80",1865881
"632","south dakota_1963"," 1114399.03",622447
"633","south dakota_1964","  907656.46",846259
"634","tennessee_1948"," 4749103.89",5211479
"635","tennessee_1949"," 4058709.76",2116098
"636","tennessee_1950"," 5452474.73",4857656
"637","tennessee_1951"," 2457525.78",4422021
"638","tennessee_1952"," 2973427.37",317329
"639","tennessee_1953"," 1807360.82",3723954
"640","tennessee_1954"," 1565341.06",1503824
"641","tennessee_1955"," 2406909.00",1567018
"642","tennessee_1956"," 4925748.88",3917650
"643","tennessee_1957"," 4629042.08",5160591
"644","tennessee_1958"," 5973199.20",6893937
